GEO_ID,NAME,year,grade,projected_enrollment,value_status
0500000US25021,"Norfolk County, Massachusetts",2027,10,6468.616778543109,Projected
0500000US25021,"Norfolk County, Massachusetts",2027,11,11958.763793404956,Projected
0500000US25021,"Norfolk County, Massachusetts",2027,12,8179.661904726363,Projected
0500000US25021,"Norfolk County, Massachusetts",2028,9,9974.340685850326,Projected
0500000US25021,"Norfolk County, Massachusetts",2028,10,8728.473652219487,Projected
0500000US25021,"Norfolk County, Massachusetts",2028,11,7968.726092584997,Projected
0500000US25021,"Norfolk County, Massachusetts",2028,12,10624.830337402163,Projected
0500000US25021,"Norfolk County, Massachusetts",2029,9,7765.968233160371,Projected
0500000US25021,"Norfolk County, Massachusetts",2029,10,10670.328197890742,Projected
0500000US25021,"Norfolk County, Massachusetts",2029,11,10752.65673050855,Projected
0500000US25021,"Norfolk County, Massachusetts",2029,12,7079.859105975256,Projected
0500000US25023,"Plymouth County, Massachusetts",2025,9,9227.15658535445,Projected
0500000US25023,"Plymouth County, Massachusetts",2025,10,7138.677150787316,Projected
0500000US25023,"Plymouth County, Massachusetts",2025,11,7649.655989891982,Projected
0500000US25023,"Plymouth County, Massachusetts",2025,12,8772.961797835776,Projected
0500000US25023,"Plymouth County, Massachusetts",2026,9,8413.69270624227,Projected
0500000US25023,"Plymouth County, Massachusetts",2026,10,10196.546731053642,Projected
0500000US25023,"Plymouth County, Massachusetts",2026,11,7442.881889931201,Projected
0500000US25023,"Plymouth County, Massachusetts",2026,12,9164.29602156329,Projected
0500000US25023,"Plymouth County, Massachusetts",2027,9,7103.15707674228,Projected
0500000US25023,"Plymouth County, Massachusetts",2027,10,9297.621652600246,Projected
0500000US25023,"Plymouth County, Massachusetts",2027,11,10631.058304132208,Projected
0500000US25023,"Plymouth County, Massachusetts",2027,12,8916.580429628591,Projected
0500000US25023,"Plymouth County, Massachusetts",2028,9,9448.865935138352,Projected
0500000US25023,"Plymouth County, Massachusetts",2028,10,7849.403269689372,Projected
0500000US25023,"Plymouth County, Massachusetts",2028,11,9693.826791135732,Projected
0500000US25023,"Plymouth County, Massachusetts",2028,12,12736.019168744593,Projected
0500000US25023,"Plymouth County, Massachusetts",2029,9,8306.685332876692,Projected
0500000US25023,"Plymouth County, Massachusetts",2029,10,10441.548506505385,Projected
0500000US25023,"Plymouth County, Massachusetts",2029,11,8183.894608021946,Projected
0500000US25023,"Plymouth County, Massachusetts",2029,12,11613.214818171617,Projected
0500000US25025,"Suffolk County, Massachusetts",2025,9,7126.140948209561,Projected
0500000US25025,"Suffolk County, Massachusetts",2025,10,5418.914769203747,Projected
0500000US25025,"Suffolk County, Massachusetts",2025,11,7367.097040889232,Projected
0500000US25025,"Suffolk County, Massachusetts",2025,12,9467.174722016834,Projected
0500000US25025,"Suffolk County, Massachusetts",2026,9,5411.26609685007,Projected
0500000US25025,"Suffolk County, Massachusetts",2026,10,6766.418509143225,Projected
0500000US25025,"Suffolk County, Massachusetts",2026,11,4736.228610871026,Projected
0500000US25025,"Suffolk County, Massachusetts",2026,12,11177.178666690956,Projected
0500000US25025,"Suffolk County, Massachusetts",2027,9,9487.602500617817,Projected
0500000US25025,"Suffolk County, Massachusetts",2027,10,5138.10929951154,Projected
0500000US25025,"Suffolk County, Massachusetts",2027,11,5913.971025759542,Projected
0500000US25025,"Suffolk County, Massachusetts",2027,12,7185.689708738956,Projected
0500000US25025,"Suffolk County, Massachusetts",2028,9,6797.981303255978,Projected
0500000US25025,"Suffolk County, Massachusetts",2028,10,9008.675190981652,Projected
0500000US25025,"Suffolk County, Massachusetts",2028,11,4490.799598552248,Projected
0500000US25025,"Suffolk County, Massachusetts",2028,12,8972.531570802998,Projected
0500000US25025,"Suffolk County, Massachusetts",2029,9,8230.374542012616,Projected
0500000US25025,"Suffolk County, Massachusetts",2029,10,6454.824125632513,Projected
0500000US25025,"Suffolk County, Massachusetts",2029,11,7873.743545119606,Projected
0500000US25025,"Suffolk County, Massachusetts",2029,12,6813.330839913013,Projected
0500000US25027,"Worcester County, Massachusetts",2025,9,7953.993079867137,Projected
0500000US25027,"Worcester County, Massachusetts",2025,10,11792.340646004865,Projected
0500000US25027,"Worcester County, Massachusetts",2025,11,8283.887930295445,Projected
0500000US25027,"Worcester County, Massachusetts",2025,12,12084.525982694762,Projected
0500000US25027,"Worcester County, Massachusetts",2026,9,10030.769278825248,Projected
0500000US25027,"Worcester County, Massachusetts",2026,10,8036.000333598239,Projected
0500000US25027,"Worcester County, Massachusetts",2026,11,10889.134806306107,Projected
0500000US25027,"Worcester County, Massachusetts",2026,12,9622.88368080235,Projected
0500000US25027,"Worcester County, Massachusetts",2027,9,9142.377739643385,Projected
0500000US25027,"Worcester County, Massachusetts",2027,10,10134.188509029118,Projected
0500000US25027,"Worcester County, Massachusetts",2027,11,7420.502304240846,Projected
0500000US25027,"Worcester County, Massachusetts",2027,12,12649.238921068158,Projected
0500000US25027,"Worcester County, Massachusetts",2028,9,10831.709870558963,Projected
0500000US25027,"Worcester County, Massachusetts",2028,10,9236.637476038963,Projected
0500000US25027,"Worcester County, Massachusetts",2028,11,9357.984825915182,Projected
0500000US25027,"Worcester County, Massachusetts",2028,12,8619.941641857624,Projected
0500000US25027,"Worcester County, Massachusetts",2029,9,12392.239919309019,Projected
0500000US25027,"Worcester County, Massachusetts",2029,10,10943.386957875648,Projected
0500000US25027,"Worcester County, Massachusetts",2029,11,8529.1795456776,Projected
0500000US25027,"Worcester County, Massachusetts",2029,12,10870.596056371753,Projected
