GEO_ID,NAME,csr_year,starting_grade,ending_grade,enrollment_start,enrollment_end,csr,weight,weighted_csr
0500000US25005,"Bristol County, Massachusetts",2023,5,6,5296.0,9268.0,1.75,0.15,0.2625
0500000US25005,"Bristol County, Massachusetts",2024,5,6,5622.0,5474.0,0.9736748488082533,0.4,0.38946993952330133
0500000US25005,"Bristol County, Massachusetts",2020,6,7,5878.0,7316.5,1.244726097312011,0.15,0.18670891459680164
0500000US25005,"Bristol County, Massachusetts",2021,6,7,6226.0,7323.0,1.1761965949245101,0.15,0.17642948923867652
0500000US25005,"Bristol County, Massachusetts",2022,6,7,6574.0,8737.0,1.3290234256160633,0.15,0.19935351384240949
0500000US25005,"Bristol County, Massachusetts",2023,6,7,7197.0,6833.0,0.9494233708489649,0.15,0.14241350562734473
0500000US25005,"Bristol County, Massachusetts",2024,6,7,9268.0,6682.0,0.7209753992231334,0.4,0.28839015968925336
0500000US25005,"Bristol County, Massachusetts",2020,7,8,7310.0,6764.0,0.9253077975376197,0.15,0.13879616963064295
0500000US25005,"Bristol County, Massachusetts",2021,7,8,7316.5,6612.0,0.9037107906786032,0.15,0.13555661860179047
0500000US25005,"Bristol County, Massachusetts",2022,7,8,7323.0,7402.0,1.0107879284446266,0.15,0.151618189266694
0500000US25005,"Bristol County, Massachusetts",2023,7,8,8737.0,7519.0,0.8605928808515508,0.15,0.12908893212773262
0500000US25005,"Bristol County, Massachusetts",2024,7,8,6833.0,4582.0,0.6705692960632226,0.4,0.26822771842528903
0500000US25005,"Bristol County, Massachusetts",2020,8,9,6916.0,8381.5,1.2118999421631,0.15,0.181784991324465
0500000US25005,"Bristol County, Massachusetts",2021,8,9,6764.0,7417.0,1.096540508574808,0.15,0.1644810762862212
0500000US25005,"Bristol County, Massachusetts",2022,8,9,6612.0,5649.0,0.854355716878403,0.15,0.12815335753176044
0500000US25005,"Bristol County, Massachusetts",2023,8,9,7402.0,7736.0,1.0451229397460147,0.15,0.1567684409619022
0500000US25005,"Bristol County, Massachusetts",2024,8,9,7519.0,8586.0,1.1419071685064504,0.4,0.45676286740258015
0500000US25005,"Bristol County, Massachusetts",2020,9,10,9346.0,6677.5,0.7144767815108067,0.15,0.10717151722662101
0500000US25005,"Bristol County, Massachusetts",2021,9,10,8381.5,7294.0,0.8702499552586053,0.15,0.13053749328879077
0500000US25005,"Bristol County, Massachusetts",2022,9,10,7417.0,7346.0,0.9904273965215047,0.15,0.1485641094782257
0500000US25005,"Bristol County, Massachusetts",2023,9,10,5649.0,7780.0,1.377234908833422,0.15,0.20658523632501327
0500000US25005,"Bristol County, Massachusetts",2024,9,10,7736.0,6429.0,0.8310496380558429,0.4,0.3324198552223372
0500000US25005,"Bristol County, Massachusetts",2020,10,11,6061.0,6604.0,1.0895891767035142,0.15,0.16343837650552712
0500000US25005,"Bristol County, Massachusetts",2021,10,11,6677.5,6571.0,0.9840509172594534,0.15,0.147607637588918
0500000US25005,"Bristol County, Massachusetts",2022,10,11,7294.0,6660.0,0.9130792432136002,0.15,0.13696188648204002
0500000US25005,"Bristol County, Massachusetts",2023,10,11,7346.0,6408.0,0.872311462020147,0.15,0.13084671930302205
0500000US25005,"Bristol County, Massachusetts",2024,10,11,7780.0,7814.0,1.004370179948586,0.4,0.4017480719794344
0500000US25005,"Bristol County, Massachusetts",2020,11,12,6637.0,7859.5,1.1841946662648788,0.15,0.1776291999397318
0500000US25005,"Bristol County, Massachusetts",2021,11,12,6604.0,8191.0,1.2403089036947306,0.15,0.18604633555420957
0500000US25005,"Bristol County, Massachusetts",2022,11,12,6571.0,10933.0,1.6638259016892405,0.15,0.24957388525338606
0500000US25005,"Bristol County, Massachusetts",2023,11,12,6660.0,7178.0,1.0777777777777777,0.15,0.16166666666666665
0500000US25005,"Bristol County, Massachusetts",2024,11,12,6408.0,12287.0,1.917446941323346,0.4,0.7669787765293384
0500000US25009,"Essex County, Massachusetts",2020,4,5,8136.0,8646.5,1.0627458210422813,0.15,0.1594118731563422
0500000US25009,"Essex County, Massachusetts",2021,4,5,8580.0,9019.0,1.0511655011655012,0.15,0.15767482517482517
0500000US25009,"Essex County, Massachusetts",2022,4,5,9024.0,8718.0,0.9660904255319149,0.15,0.14491356382978723
0500000US25009,"Essex County, Massachusetts",2023,4,5,10285.0,7711.0,0.7497326203208556,0.15,0.11245989304812834
0500000US25009,"Essex County, Massachusetts",2024,4,5,9540.0,10878.0,1.140251572327044,0.4,0.45610062893081765
0500000US25009,"Essex County, Massachusetts",2020,5,6,8274.0,9930.5,1.2002054628958183,0.15,0.18003081943437274
0500000US25009,"Essex County, Massachusetts",2021,5,6,8646.5,10175.0,1.1767767304689758,0.15,0.17651650957034637
0500000US25009,"Essex County, Massachusetts",2022,5,6,9019.0,8281.0,0.9181727464242155,0.15,0.13772591196363232
0500000US25009,"Essex County, Massachusetts",2023,5,6,8718.0,9445.0,1.0833906859371416,0.15,0.16250860289057123
0500000US25009,"Essex County, Massachusetts",2024,5,6,7711.0,9577.0,1.241991959538322,0.4,0.4967967838153288
0500000US25009,"Essex County, Massachusetts",2020,6,7,9686.0,9763.0,1.0079496180053686,0.15,0.15119244270080529
0500000US25009,"Essex County, Massachusetts",2021,6,7,9930.5,9350.0,0.9415437289159659,0.15,0.1412315593373949
0500000US25009,"Essex County, Massachusetts",2022,6,7,10175.0,11002.0,1.0812776412776413,0.15,0.1621916461916462
0500000US25009,"Essex County, Massachusetts",2023,6,7,8281.0,7529.0,0.9091897113875136,0.15,0.13637845670812704
0500000US25009,"Essex County, Massachusetts",2024,6,7,9445.0,9033.0,0.9563790365272631,0.4,0.38255161461090526
0500000US25009,"Essex County, Massachusetts",2020,7,8,10176.0,10835.0,1.0647602201257862,0.15,0.1597140330188679
0500000US25009,"Essex County, Massachusetts",2021,7,8,9763.0,9849.0,1.0088087677967839,0.15,0.15132131516951758
0500000US25009,"Essex County, Massachusetts",2022,7,8,9350.0,8854.0,0.946951871657754,0.15,0.14204278074866308
0500000US25009,"Essex County, Massachusetts",2023,7,8,11002.0,12146.0,1.1039810943464825,0.15,0.16559716415197237
0500000US25009,"Essex County, Massachusetts",2024,7,8,7529.0,10688.0,1.419577633151813,0.4,0.5678310532607252
0500000US25009,"Essex County, Massachusetts",2020,8,9,11821.0,10254.5,0.8674816005414093,0.15,0.1301222400812114
0500000US25009,"Essex County, Massachusetts",2021,8,9,10835.0,9925.0,0.9160129210890632,0.15,0.13740193816335947
